,precision,recall,f1-score,support
AM General Hummer SUV 2000,1.0,1.0,1.0,44.0
Acura Integra Type R 2001,0.9761904761904762,0.9318181818181818,0.9534883720930233,44.0
Acura RL Sedan 2012,0.8064516129032258,0.78125,0.7936507936507936,32.0
Acura TL Sedan 2012,0.75,0.9069767441860465,0.8210526315789475,43.0
Acura TL Type-S 2008,0.9111111111111111,0.9761904761904762,0.9425287356321839,42.0
Acura TSX Sedan 2012,0.9090909090909091,0.75,0.821917808219178,40.0
Acura ZDX Hatchback 2012,0.9444444444444444,0.8717948717948718,0.9066666666666667,39.0
Aston Martin V8 Vantage Convertible 2012,0.8974358974358975,0.7777777777777778,0.8333333333333333,45.0
Aston Martin V8 Vantage Coupe 2012,0.7352941176470589,0.6097560975609756,0.6666666666666666,41.0
Aston Martin Virage Convertible 2012,0.9393939393939394,0.9393939393939394,0.9393939393939394,33.0
Aston Martin Virage Coupe 2012,0.6730769230769231,0.9210526315789473,0.7777777777777778,38.0
Audi 100 Sedan 1994,0.6829268292682927,0.7,0.6913580246913581,40.0
Audi 100 Wagon 1994,0.868421052631579,0.7857142857142857,0.825,42.0
Audi A5 Coupe 2012,0.578125,0.9024390243902439,0.7047619047619048,41.0
Audi R8 Coupe 2012,0.9285714285714286,0.9069767441860465,0.9176470588235294,43.0
Audi RS 4 Convertible 2008,0.9696969696969697,0.8888888888888888,0.927536231884058,36.0
Audi S4 Sedan 2007,0.9130434782608695,0.4666666666666667,0.6176470588235294,45.0
Audi S4 Sedan 2012,0.8846153846153846,0.5897435897435898,0.7076923076923076,39.0
Audi S5 Convertible 2012,0.868421052631579,0.7857142857142857,0.825,42.0
Audi S5 Coupe 2012,0.75,0.5,0.6,42.0
Audi S6 Sedan 2011,0.5238095238095238,0.9565217391304348,0.6769230769230768,46.0
Audi TT Hatchback 2011,0.5476190476190477,0.575,0.5609756097560975,40.0
Audi TT RS Coupe 2012,0.7441860465116279,0.8205128205128205,0.7804878048780488,39.0
Audi TTS Coupe 2012,0.7142857142857143,0.5952380952380952,0.6493506493506493,42.0
Audi V8 Sedan 1994,0.7272727272727273,0.7441860465116279,0.735632183908046,43.0
BMW 1 Series Convertible 2012,0.8611111111111112,0.8857142857142857,0.8732394366197184,35.0
BMW 1 Series Coupe 2012,0.8695652173913043,0.975609756097561,0.9195402298850575,41.0
BMW 3 Series Sedan 2012,0.8837209302325582,0.9047619047619048,0.8941176470588236,42.0
BMW 3 Series Wagon 2012,0.9722222222222222,0.8536585365853658,0.9090909090909091,41.0
BMW 6 Series Convertible 2007,0.925,0.8409090909090909,0.8809523809523809,44.0
BMW ActiveHybrid 5 Sedan 2012,0.8157894736842105,0.9117647058823529,0.861111111111111,34.0
BMW M3 Coupe 2012,0.9743589743589743,0.8636363636363636,0.9156626506024097,44.0
BMW M5 Sedan 2010,0.9069767441860465,0.9512195121951219,0.9285714285714286,41.0
BMW M6 Convertible 2010,0.7674418604651163,0.8048780487804879,0.7857142857142858,41.0
BMW X3 SUV 2012,0.972972972972973,0.9473684210526315,0.9599999999999999,38.0
BMW X5 SUV 2007,1.0,0.926829268292683,0.9620253164556963,41.0
BMW X6 SUV 2012,0.9523809523809523,0.9523809523809523,0.9523809523809523,42.0
BMW Z4 Convertible 2012,0.9230769230769231,0.9,0.9113924050632911,40.0
Bentley Arnage Sedan 2009,0.9736842105263158,0.9487179487179487,0.9610389610389611,39.0
Bentley Continental Flying Spur Sedan 2007,0.7884615384615384,0.9318181818181818,0.8541666666666667,44.0
Bentley Continental GT Coupe 2007,0.6875,0.717391304347826,0.702127659574468,46.0
Bentley Continental GT Coupe 2012,0.7333333333333333,0.6470588235294118,0.6875,34.0
Bentley Continental Supersports Conv. Convertible 2012,0.8205128205128205,0.8888888888888888,0.8533333333333333,36.0
Bentley Mulsanne Sedan 2011,0.9090909090909091,0.8571428571428571,0.8823529411764706,35.0
Bugatti Veyron 16.4 Convertible 2009,0.8333333333333334,0.78125,0.8064516129032259,32.0
Bugatti Veyron 16.4 Coupe 2009,0.8636363636363636,0.8837209302325582,0.8735632183908046,43.0
Buick Enclave SUV 2012,0.9767441860465116,1.0,0.988235294117647,42.0
Buick Rainier SUV 2007,0.9090909090909091,0.9523809523809523,0.9302325581395349,42.0
Buick Regal GS 2012,0.8947368421052632,0.9714285714285714,0.9315068493150684,35.0
Buick Verano Sedan 2012,0.9,0.972972972972973,0.935064935064935,37.0
Cadillac CTS-V Sedan 2012,1.0,0.9767441860465116,0.988235294117647,43.0
Cadillac Escalade EXT Crew Cab 2007,0.8571428571428571,0.9545454545454546,0.9032258064516128,44.0
Cadillac SRX SUV 2012,0.9761904761904762,1.0,0.9879518072289156,41.0
Chevrolet Avalanche Crew Cab 2012,0.875,0.7777777777777778,0.823529411764706,45.0
Chevrolet Camaro Convertible 2012,0.9285714285714286,0.8863636363636364,0.9069767441860465,44.0
Chevrolet Cobalt SS 2010,0.972972972972973,0.8780487804878049,0.923076923076923,41.0
Chevrolet Corvette Convertible 2012,0.8043478260869565,0.9487179487179487,0.8705882352941177,39.0
Chevrolet Corvette Ron Fellows Edition Z06 2007,0.9444444444444444,0.918918918918919,0.9315068493150684,37.0
Chevrolet Corvette ZR1 2012,0.9024390243902439,0.8043478260869565,0.8505747126436782,46.0
Chevrolet Express Cargo Van 2007,0.32558139534883723,0.4827586206896552,0.38888888888888895,29.0
Chevrolet Express Van 2007,0.4857142857142857,0.4857142857142857,0.4857142857142857,35.0
Chevrolet HHR SS 2010,1.0,0.9722222222222222,0.9859154929577464,36.0
Chevrolet Impala Sedan 2007,0.8043478260869565,0.8604651162790697,0.8314606741573034,43.0
Chevrolet Malibu Hybrid Sedan 2010,0.75,0.9473684210526315,0.8372093023255814,38.0
Chevrolet Malibu Sedan 2007,0.9,0.8181818181818182,0.8571428571428572,44.0
